tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,jumlah_rt,jumlah_rw
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,158,16
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,220,14
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,127,13
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,104,10
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,196,16
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,280,20
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,184,14
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,147,13
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,214,19
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,222,18
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,119,14
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,95,7
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,109,11
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,133,10
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,107,11
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,MARUNDA,104,10
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,172,14
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,107,11
2013,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,136,12
